file,line,code,issue,risk,gain,status
[ARCHITECTURE] Caching,0,Computation cache,Cache expensive computations across frames,LOW,+10-20%,completed
[ARCHITECTURE] Command dispatch,0,Command lookup,Hash table instead of string matching,LOW,+15-30%,completed
[ARCHITECTURE] Event system,0,Event processing,Batch events and process in parallel,HIGH,+50-80%,completed
[ARCHITECTURE] File system,0,Path resolution,Use trie data structure for O(k) lookup,MEDIUM,+40-60%,completed
[ARCHITECTURE] GPU acceleration,0,3D rendering,Offload OBJ rendering to GPU (Phase 1/4),HIGH,+200-400%,in-progress
[ARCHITECTURE] Memory pool,0,Object allocation,Implement object pool for frame data,MEDIUM,+15-25%,completed
[ARCHITECTURE] Parallelization,0,System execution,Use rayon/tokio for parallel systems,HIGH,+60-120%,completed
[ARCHITECTURE] Render pipeline,0,Halfblock rendering,Batch terminal writes instead of per-cell,MEDIUM,+30-50%,completed
[ARCHITECTURE] Streaming,0,Asset loading,Stream scenes instead of loading all,MEDIUM,+30-50%,pending
[ARCHITECTURE] Transform system,0,Matrix transformations,Implement transform cache with dirty flag,MEDIUM,+20-40%,completed
app/src/main.rs,56,"        app_name: ""app"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
app/src/main.rs,58,"        root_dir: cli.log_root.clone().map(PathBuf::from),",Clone allocation - Consider ownership or references,LOW,+3-12%,completed
app/src/main.rs,65,                format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
app/src/main.rs,77,"        .unwrap_or_else(|| ""mods/shell-quest/"".to_string());",String allocation - Use String::from() or &str,LOW,+3-12%,completed
app/src/main.rs,78,"    logging::info(""app.main"", format!(""resolved mod_source={mod_source}""));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
app/src/main.rs,90,        format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
app/src/main.rs,101,"            format!(""failed to initialize ShellEngine: {error}""),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
app/src/main.rs,120,"        logging::error(""app.main"", format!(""engine run failed: {error}""));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/app.rs,29,"        format!(""starting editor loop: launch_mod_source={}"", cli.mod_source),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/app.rs,46,"        format!(""recent projects loaded: {}"", app.recent_projects.len()),",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/app.rs,126,        format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/domain/effect_params.rs,95,"        let bar = format!(""[{}{}]"", ""="".repeat(filled), "" "".repeat(empty));",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/domain/effect_params.rs,97,"            format!(""{bar} {:5.2}"", value)",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/domain/effect_params.rs,99,"            format!(""{bar} {:5.1} {}"", value, self.control.unit())",Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/domain/effects_catalog.rs,19,        .map(|s| (*s).to_string()),String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,225,"        id: ""effect_preview"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,226,"        title: ""Effect Preview"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,228,"        rendered_mode: ""halfblock"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,229,"        bg_colour: ""black"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,286,        Vec::new(),Uninitialized Vec - Use Vec::with_capacity,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,293,"                id: ""penguin"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,294,"                source: ""/assets/images/tux.png"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,297,"                align_x: ""center"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/effects_preview_scene.rs,298,"                align_y: ""center"".to_string(),",String allocation - Use String::from() or &str,LOW,+3-12%,completed
editor/src/domain/preview_renderer.rs,30,        return Err(format!(,Format allocation - Use write!() macro,MEDIUM,+3-12%,completed
editor/src/domain/preview_renderer.rs,43,    world.register_scoped(SceneRuntime::new(req.scene.clone()));,Clone allocation - Consider ownership or references,LOW,+3-12%,completed
editor/src/domain/preview_renderer.rs,57,"        .ok_or_else(|| ""Preview render did not produce a buffer"".to_string())",String allocation - Use String::from() or &str,LOW,+3-12%,completed
